Price,Adj Close,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,,
2016-01-08,218.4083709716797,234.4691925048828,236.1035614013672,232.4005126953125,233.15484619140625,21313199
2016-01-11,223.91250610351562,240.37806701660156,242.4810333251953,231.09759521484375,232.2290802001953,29016443
2016-01-12,222.60299682617188,238.9722900390625,243.5325164794922,237.9779510498047,241.15525817871094,23373377
2016-01-13,229.28887939453125,246.14979553222656,249.09852600097656,239.37229919433594,240.720947265625,71802356
2016-01-14,226.0524139404297,242.67532348632812,247.09841918945312,240.7095184326172,243.17820739746094,27823189
2016-01-15,228.532958984375,245.33831787109375,249.04136657714844,243.57823181152344,244.52685546875,28767318
2016-01-18,216.51333618164062,232.43479919433594,247.77273559570312,230.43470764160156,245.72691345214844,27254669
2016-01-19,222.20912170410156,238.54940795898438,239.96661376953125,231.8061981201172,235.21209716796875,21489315
2016-01-20,213.8943328857422,229.62322998046875,236.56072998046875,226.29734802246094,236.56072998046875,45114225
2016-01-21,209.5613250732422,224.9715576171875,234.4691925048828,223.25718688964844,232.59481811523438,31768619
2016-01-22,213.80918884277344,229.53179931640625,231.09759521484375,227.22311401367188,227.22311401367188,23682648
2016-01-25,213.76663208007812,229.486083984375,232.86911010742188,228.5831756591797,230.86900329589844,13099564
2016-01-27,212.78713989257812,228.43460083007812,230.86900329589844,227.88600158691406,230.43470764160156,17251028
